IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
SWITŁANA,KOBIETA,290
SOLOMIA,KOBIETA,287
ESTER,KOBIETA,286
LUDWINA,KOBIETA,286
ASIA,KOBIETA,285
KARMEN,KOBIETA,285
CYNTHIA,KOBIETA,284
VIYALETA,KOBIETA,283
INGRYDA,KOBIETA,278
ZARA,KOBIETA,278
LIUBA,KOBIETA,277
KATRIN,KOBIETA,276
DORIS,KOBIETA,275
ARLENA,KOBIETA,274
ANASTASIJA,KOBIETA,274
FLORA,KOBIETA,274
ANAT,KOBIETA,272
LEONA,KOBIETA,270
KHATUNA,KOBIETA,270
YASMINA,KOBIETA,269
KIARA,KOBIETA,268
NONNA,KOBIETA,268
LILLI,KOBIETA,267
ELIF,KOBIETA,266
MERVE,KOBIETA,265
RONI,KOBIETA,264
RADA,KOBIETA,264
KAROLA,KOBIETA,264
YVONNE,KOBIETA,263
NADIJA,KOBIETA,263
DEBORAH,KOBIETA,262
SHIRA,KOBIETA,261
AYA,KOBIETA,261
NELI,KOBIETA,261
LUCJANNA,KOBIETA,261
TAL,KOBIETA,261
WIELISŁAWA,KOBIETA,261
PAULINE,KOBIETA,260
SERAFINA,KOBIETA,260
AMALIIA,KOBIETA,260
SUSANA,KOBIETA,260
LEONIDA,KOBIETA,259
RIMMA,KOBIETA,259
NATALIJA,KOBIETA,258
DANIELLA,KOBIETA,258
HIERONIMA,KOBIETA,258
MIRONA,KOBIETA,256
EVGENIIA,KOBIETA,256
GABRIELLE,KOBIETA,256
NOELIA,KOBIETA,255
LAURENCJA,KOBIETA,255
WINCENTYNA,KOBIETA,254
AURELA,KOBIETA,253
FABIOLA,KOBIETA,253
OTOLIA,KOBIETA,252
REBEKA,KOBIETA,252
BLANCA,KOBIETA,252
SALOME,KOBIETA,252
